"","coho_smolt_per_fem","chinook_juv_per_adult","coho_spawner_abundance","coho_redds_in_brood","coho_smolt_abun_est","chinook_spawner_abundance","chinook_juvenile_abundance"
"f2_recon_120",215.26497813291,NA,NA,NA,1278.50848154228,NA,NA
"d1_DS_Mag_50",215.264979243141,317.485893503394,247.670661528594,240.510453912403,1278.50653783575,423.778347559994,186525.834780414
"d1_DS_Mag_90",215.262697924283,316.985586096884,248.436855616585,247.752524684533,1278.51181282798,427.643880508564,186538.355088681
"f1_FA_Dur",215.262697924283,316.985586096884,248.436855616585,247.752524684533,1278.51181282798,427.643880508564,186538.355088681
"f1_FA_Tim",215.262697924283,316.985586096884,248.436855616585,247.752524684533,1278.51181282798,427.643880508564,186538.355088681
"f1_FA_Dif_num",215.268430815745,317.018631554348,247.590648801741,239.194512867048,1277.59555358958,427.903279758273,186511.014178103
"w1_Wet_BFL_Dur",215.263974893151,317.432905758761,248.6302813082,240.4605453391,1278.51240081812,430.712882183277,186542.986983291
"w1_Wet_BFL_Mag_50",215.261557743495,317.401754281905,247.974258024358,239.743292406042,1278.50624523552,420.646146142036,186511.424872613
"s1_SP_ROC",215.262231588449,317.349202639231,NA,NA,1278.51243052458,NA,186490.834981356
"s1_SP_ROC_Max",215.272078958363,317.240792725715,NA,NA,1278.47192788643,NA,186494.087080001
"f2_FA_Dur",215.272078958363,NA,NA,NA,1278.47192788643,NA,NA
"f2_FA_Dif_num",215.265810102877,NA,NA,NA,1278.51367501487,NA,NA
"w2_Wet_BFL_Mag_50",215.262453519656,NA,NA,NA,1278.49631154861,NA,NA
"w2_Wet_Tim",215.264432822708,NA,NA,NA,1278.52395372471,NA,NA
"s2_SP_ROC",215.26276464675,NA,NA,NA,1278.02720601773,NA,NA
"s2_SP_ROC_Max",215.260871982982,NA,NA,NA,1278.13260313686,NA,NA
"s2_SP_Tim",215.264838283714,NA,NA,NA,1278.3436380579,NA,NA
"f1_recon_120",215.275210770366,317.37143608873,243.215697348176,238.221567957584,1278.51433653475,430.91475035003,186541.434115989
