Year,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987
FA_Mag,508.99238114223255,133.99944071873648,nan,259.0018626833874,134.97421202545675,715.9803328658481,158.96920301405618,nan,nan,nan,183.9992461762436,1039.9122575768754,nan,nan,209.99117908236602,nan,nan,128.99195621874017,168.9951463142975
FA_Tim,49.0,13.0,nan,43.0,35.0,22.0,53.0,nan,nan,nan,61.0,24.0,nan,nan,23.0,nan,nan,24.0,30.0
FA_Dur,5.0,7.0,nan,6.0,7.0,3.0,2.0,nan,nan,nan,13.0,7.0,nan,nan,4.0,nan,nan,6.0,5.0
Wet_BFL_Mag_10,647.0,456.0,659.8,237.6,310.8,934.0,850.1,302.2,58.0,586.2,186.0,294.20000000000005,155.7,735.6,697.6,645.5,311.0,338.40000000000003,376.8
Wet_BFL_Mag_50,1230.0,960.0,1295.0,725.0,535.0,1620.0,1415.0,479.0,86.0,1150.0,541.0,733.0,479.0,1305.0,1510.0,1075.0,471.5,1020.0,690.0
Wet_Tim,92.0,68.0,32.0,102.0,70.0,33.0,124.0,21.0,37.0,49.0,95.0,37.0,56.0,40.0,49.0,29.0,24.0,100.0,112.0
Wet_BFL_Dur,141.0,51.0,212.0,59.0,163.0,153.0,124.0,209.0,219.0,137.0,136.0,117.0,160.0,108.0,195.0,216.0,176.0,49.0,110.0
Peak_2,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0,6370.0
Peak_5,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0,14020.0
Peak_10,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996,17859.999999999996
Peak_Dur_2,nan,8.0,3.0,5.0,nan,7.0,1.0,nan,nan,2.0,nan,2.0,nan,7.0,2.0,nan,nan,5.0,nan
Peak_Dur_5,nan,2.0,1.0,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Dur_10,nan,nan,nan,nan,nan,2.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_2,nan,2.0,1.0,2.0,nan,3.0,1.0,nan,nan,1.0,nan,1.0,nan,4.0,2.0,nan,nan,2.0,nan
Peak_Fre_5,nan,1.0,1.0,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
Peak_Fre_10,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan,nan,nan,1.0,nan,nan,nan,nan,nan
SP_Mag,2860.0,17200.0,2040.0,3670.0,1730.0,6540.0,3740.0,1660.0,262.0,1920.0,1520.0,3210.0,866.0,7780.0,4830.0,1650.0,1900.0,4570.0,1100.0
SP_Tim,233.0,119.0,244.0,161.0,233.0,186.0,248.0,230.0,256.0,186.0,231.0,154.0,216.0,148.0,244.0,245.0,200.0,149.0,222.0
SP_Dur,71.0,168.0,71.0,132.0,61.0,122.0,65.0,69.0,71.0,124.0,50.0,142.0,64.0,155.0,74.0,67.0,96.0,131.0,66.0
SP_ROC,0.07692307692307693,0.05668449197860963,0.05172413793103448,0.05925925925925926,0.05952380952380952,0.06315789473684211,0.059128745837957825,0.05296764920713461,0.06382978723404255,0.07294481981981982,0.0625,0.05084745762711865,0.07127929541722645,0.06008302874419025,0.05668016194331984,0.043751709051134804,0.05943495924553968,0.06306306306306306,0.05491501918921533
DS_Mag_50,82.0,56.0,123.0,74.0,41.0,118.0,84.5,71.5,15.5,97.0,24.0,40.0,13.0,81.5,202.0,51.5,46.0,90.0,88.0
DS_Mag_90,120.30000000000003,86.0,373.20000000000005,131.8,173.20000000000104,337.70000000000005,99.7,84.0,47.3,155.0,166.4000000000005,75.0,29.0,202.30000000000004,260.0000000000001,96.49999999999999,186.69999999999996,159.0,159.0
DS_Tim,304.0,287.0,315.0,293.0,294.0,308.0,313.0,299.0,327.0,310.0,281.0,296.0,280.0,303.0,318.0,312.0,296.0,280.0,288.0
DS_Dur_WS,130.0,111.0,153.0,143.0,105.0,182.0,74.0,104.0,88.0,151.0,122.0,126.0,126.0,112.0,77.0,78.0,170.0,198.0,190.0
