season,water_year,first_coho_sighted,last_coho_sighted,adult_coho_counted,spawn_survey_start,spawn_survey_end,miles_surveyed_mainstem,miles_surveyed_tributaries,total_redds_mainstem,total_redds_tributaries,total_redds,total_carcasses_recovered,data_quality_notes,redds_ms_reach06,redds_ms_reach07,redds_ms_reach08,redds_ms_reach09,redds_ms_reach10,redds_ms_reach11,redds_ms_reach12,redds_ms_reach13,redds_ms_reach14,redds_ms_reach15,redds_ms_reach16,redds_shackleford_cr,redds_mill_cr,redds_kidder_cr,redds_patterson_cr,redds_etna_cr,redds_french_cr,redds_miners_cr,redds_sugar_cr,redds_wildcat_cr,redds_east_fork_sr,redds_south_fork_sr,redds_canyon_cr,redds_kelsey_cr,redds_kelsey_channel,redds_tompkins_cr,redds_kangaroo_cr,redds_rail_cr,redds_middle_cr,redds_scott_bar_mill,redds_emmigrant_cr,redds_moffet_cr
2001-2002,2002,12/4/2001,NA,173,12/20/2001,1/31/2002,0.1,23.6,1,211,212,115,"high flows on nov 22 led to 500 cfs, and the Scott River regained connectivity and the adult coho moved into the upper tributaries",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,30,0,1,1,27,14,23,0,39,69,0,0,0,0,0,NA,0,1,NA,3
2002-2003,2003,11/26/2002,1/8/2003,17,12/1/2002,1/31/2003,11.8,34.2,0,20,20,2,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13,0,0,0,1,1,0,0,0,0,0,0,4,0,0,NA,0,0,1,NA
2003-2004,2004,NA,NA,7,12/4/2003,1/15/2004,2,24.35,0,6,6,5,access to shackleford on Dec 8th.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,3,0,NA,NA,0,1,0,0,0,1,0,0,0,NA,0,0,NA,0,NA,NA
2004-2005,2005,10/22/2004,NA,1577,11/16/2004,1/14/2005,2.75,44.45,21,939,960,569,"exceptional survey conditions.  Heavy rainfall Dec6-8 restored connectevity to shackleford-mill, kidder, patterson, and etna, and better access to sugar and french. Then, flow subsided and visibility improved",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,77,204,63,257,57,72,43,40,1,24,15,2,1,28,8,22,0,0,15,10,NA
2005-2006,2006,10/27/2005,NA,34,11/11/2005,1/15/2006,4.75,29.35,1,30,31,14,high flows for most of survey period prevented regular surveys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,6,0,0,0,4,3,1,NA,1,0,0,0,0,0,0,NA,0,1,NA,NA
2006-2007,2007,NA,NA,NA,11/14/2006,1/12/2007,4.57,38.9,0,14,14,6,"access to shackleford and french by mid-nov. connected to mid-scott by mid-november. Coho observed spawning directly after first significant flow event. High flows dec 12-19 and 25-28 made streams unwadeable. ""unknown"" species redds (coho vs chinook) counted as coho for purposes of this data assembly ",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,3,3,0,0,3,1,0,NA,0,0,0,1,0,0,0,NA,0,NA,NA,NA
2007-2008,2008,NA,NA,1622,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-2009,2009,NA,NA,62,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009-2010,2010,11/20/2009,12/23/2009,81,12/10/2009,1/14/2010,11.55,20.82,5,0,5,2,"Adult coho access limited by low flows, frozen water, and beaver dams. First year since 2001 that no spawning was observed in tributaries to the Scott R",0,NA,NA,NA,NA,NA,NA,1,4,0,0,0,0,0,0,0,0,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,0,NA,NA,NA
2010-2011,2011,10/26/2010,12/25/2010,911,11/17/2010,1/12/2011,9.1,32.9,3,159,162,35,,NA,NA,NA,NA,NA,NA,NA,0,0,NA,3,32,57,4,11,4,16,NA,7,NA,15,1,1,5,NA,2,2,2,NA,NA,NA,NA
2011-2012,2012,10/30/2011,12/31/2011,344,11/23/2011,12/19/2011,3.1,18.3,1,25,26,15,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,9,0,0,0,5,NA,0,NA,NA,1,1,2,NA,0,NA,NA,NA,NA,NA,NA
2012-2013,2013,10/27/2012,11/29/2012,201,11/20/2012,1/10/2013,8.65,23.0,0,24,24,6,"count is incomplete, as weir washed out on Nov 29; good disconnection details",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7,7,0,0,0,2,5,2,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013-2014,2014,10/21/2013,1/24/2014,2731,11/20/2013,1/27/2014,"scott reach 2, 3, 8, 12, 13, 14, 15","tompkins, shackleford, french, kelsey, canyon, duck lake creek",343,11,354,239,low flow conditions confined coho spawning primarily to the mainstem (except shackleford and french). Run extended into february. Emergency fish rescue later that year.,NA,NA,46,NA,NA,NA,46,46,98,100,7,2,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-2015,2015,10/23/2014,12/6/2014,485,11/14/2014,2/4/2015,14,26,19,84,103,19,Mainstem connected at orofino on 10/25,NA,NA,NA,NA,NA,NA,0,0,4,7,8,38,32,0,0,0,13,NA,1,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-2016,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-2017,2017,10/22/2016,12/7/2016,226,11/1/2016,1/3/2017,10.8,22.6,14,81,95,22,pulse flows delayed some data collection and disturbed some spawning evidence. Mainstem connected at orofino on oct 12.,NA,NA,NA,NA,NA,NA,0,0,0,8,6,10,27,0,1,0,21,14,7,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-2018,2018,NA,NA,382,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-2019,2019,NA,NA,739,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-2020,2020,12/11/2019,,346,,,,,,,79,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
