Year,FA_Mag,FA_Tim,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Wet_BFL_Dur,SP_Mag,SP_Tim,SP_Dur,SP_ROC,DS_Mag_50,DS_Mag_90,DS_Tim,DS_Dur_WS
1942,None,None,None,577.2,890,57,195,1850,252,56,0.04664723,71,94,308,100
1943,None,None,None,593,1335,42,164,2110,206,105,0.042417311,120,163.4,311,167
1944,189.9238735,25,3,181,350,112,113,1060,225,69,0.035294118,64,180.8,294,149
1945,469.9550521,34,3,263,453,77,151,1790,228,79,0.044493937,54.5,144.8,307,102
1946,614.0163065,30,7,322,762,43,191,1710,234,58,0.050945378,77,129,292,117
1947,None,None,None,172,405,43,175,1110,218,75,0.054726368,68,168.8,293,159
1948,634.0588698,16,3,276.8,451,86,167,2100,253,48,0.071455094,114,228.4,301,202
1949,215.9882152,34,7,421,815,137,91,2300,228,70,0.054754735,61,89,298,171
1950,81.84104889,41,5,454.5,969,103,136,1560,239,67,0.052364329,62,79,306,81
1951,None,None,None,660,1070,21,221,1300,242,61,0.039711191,63,115,303,101
1952,199.9925081,23,8,379,1365,38,216,2610,254,51,0.073313783,106,239.5,305,146
1953,613.9753229,67,7,233.6,1800,85,29,12400,114,199,0.052943008,113,144,313,91
1954,None,None,None,420,1205,38,196,1820,234,60,0.052631579,93,113,294,107
1955,None,None,None,168.1,214,35,222,815,257,44,0.063291139,42,327,301,133
1956,1489.963728,50,5,590,1160,68,21,4950,89,206,0.069392379,174.5,334.1,295,204
1957,258.0173185,26,5,567,1200,133,113,1480,246,46,0.046536797,107.5,656.6,292,148
1958,1010.007213,10,1,807.8,1310,74,77,12000,151,138,0.058823529,111.5,265,289,156
1959,264.9948738,44,6,207.8,678,79,150,1220,229,63,0.058462879,54,71.4,292,187
1960,None,None,None,232.6,680,113,135,1530,248,46,0.066666667,61,69.4,294,117
1961,None,None,None,246,710,45,203,1820,248,52,0.063218391,66,105,300,116
1962,108.9278573,27,3,204.4,435,50,163,1560,213,92,0.047954765,58,73.4,305,65
1963,None,None,None,337.8,871,4,232,2480,236,53,0.050209223,71,122,289,107
1964,None,None,None,368.6,546,30,224,1000,254,48,0.060784659,54,106,302,121
1965,None,None,None,315,679,57,32,12400,89,194,0.052173913,78,257.6,283,168
1966,515.9984045,45,4,340,622,85,136,1850,221,70,0.070019455,57,72.6,291,115
1967,87.99648074,4,3,323.6,628,40,198,3620,238,68,0.063380282,89,149.4,306,157
1968,190.9946018,45,3,222.6,673.5,97,54,4000,151,126,0.06746312,56,351,277,181
1969,249.9990053,40,9,647,1230,92,141,2860,233,73,0.077395965,83,120.9,306,128
1970,133.9994407,13,7,456,960,68,51,17200,119,167,0.057267866,56,85.7,286,112
1971,None,None,None,659.8,1295,32,212,2040,244,66,0.055045872,119,371.2,310,158
1972,259.0018627,43,6,237.6,725,102,59,3670,161,129,0.059471286,75,131.5,290,146
1973,134.974212,35,7,310.8,535,70,163,1730,233,57,0.05952381,42,124.4,290,109
1974,715.9803329,22,3,934,1620,33,153,6540,186,107,0.0625,126,333.8,293,197
1975,404.9802929,64,3,850.1,1415,124,124,3740,248,64,0.059433962,85,100,312,75
1976,None,None,None,302.2,479,21,209,1660,230,56,0.052967649,73,87.4,286,117
1977,None,None,None,58,86,37,219,262,256,70,0.0625,15,47.2,326,89
1978,None,None,None,586.2,1150,49,137,1920,186,121,0.073432299,97,155,307,154
1979,183.9992462,61,13,186,541,95,136,1520,231,46,0.066508314,24,132,277,126
1980,1039.912258,24,7,294.2,733,37,117,3210,154,138,0.050933933,40.5,75,292,130
1981,None,None,None,155.7,479,56,160,866,216,61,0.071279295,13,28.4,277,129
1982,None,None,None,735.6,1305,40,108,7780,148,149,0.059925094,85.5,198.1,297,118
1983,209.9911791,23,4,697.6,1510,49,195,4830,244,75,0.055057638,202,261.5,319,76
1984,None,None,None,645.5,1075,29,216,1650,245,67,0.043751709,51.5,96.5,312,78
1985,None,None,None,311,471.5,24,176,1900,200,97,0.059125964,46,187.4,297,169
1986,128.9919562,24,6,338.4,1020,100,49,4570,149,128,0.064277353,90,159,277,201
1987,168.9932032,30,5,376.8,690,112,110,1100,222,63,0.055465074,18,37,285,133
1988,None,None,None,254,468,52,201,720,253,39,0.069046607,19,35,292,113
1989,None,None,None,227.8,315,39,137,1930,176,122,0.060855263,25,47,298,85
1990,None,None,None,126.9,280.5,17,230,1060,247,42,0.070422535,33,62,289,173
1991,50.99786872,35,5,113.9,267,96,144,672,240,48,0.084219858,22,114.6,288,199
1992,85.9994884,52,2,171.6,418,121,83,1690,204,100,0.073170732,53,158.6,304,165
1993,79.99740742,17,3,503.2,1280,103,144,4600,247,68,0.059326295,53,74,315,108
1994,None,None,None,122,240.5,57,168,787,225,55,0.067251462,9.9,35.2,280,177
1995,None,None,None,816.7,1520,91,170,1760,261,63,0.066801619,61,86,324,100
1996,None,None,None,566.4,1400,58,177,2700,235,51,0.055173913,45,100.7,286,124
1997,None,None,None,828,2040,44,53,21500,97,165,0.047952494,87,227.7,262,194
1998,215.9996649,31,8,969.4,1580,90,167,2390,257,64,0.060448881,79,140.2,321,89
1999,None,None,None,518.8,1270,44,217,1610,261,48,0.053333333,73,224,309,151
2000,140.977385,29,5,747,1135,94,146,1770,240,74,0.068552775,79,103,314,181
2001,114.0051747,75,9,116,224,129,102,1040,231,37,0.104651163,5.1,8.7,268,156
2002,501.8625953,52,4,319,574.5,58,142,2140,200,108,0.065340909,14.2,75.86,308,127
2003,185.969444,39,3,620,1240,69,176,2300,245,50,0.060344828,70.75,126,295,128
2004,98.99727863,28,5,298.8,756,57,163,1470,220,88,0.067729084,24.3,93.4,308,120
2005,103.0000183,24,3,317,533.5,62,172,2620,234,65,0.071428571,29.3,198.6,299,120
2006,487.9988452,37,9,291.6,808,53,43,10700,96,196,0.055718954,54.4,79.38,292,105
2007,None,None,None,164,561,31,141,1480,172,107,0.056409523,27.9,172.6,279,163
2008,777.9894777,19,6,272.4,572,76,158,3000,234,80,0.056179775,39.1,144,314,131
2009,181.0025556,33,6,169,381,79,154,1160,233,59,0.07035284,16.9,66,292,162
2010,32.89408976,16,2,377.3,580.5,88,164,2800,252,67,0.069823454,48.85,365.2,319,104
2011,754.9269609,24,4,488,1070,57,211,1800,268,59,0.059171598,95.2,127,327,146
2012,None,None,None,279,646,107,105,2910,212,77,0.077279794,22.6,57.9,289,124
2013,None,None,None,257.6,427,47,177,1060,224,49,0.062376238,46.35,56.9,273,220
2014,None,None,None,93.16,473,127,37,3690,164,103,0.059249532,8.015,72.81,267,152
2015,191.9969906,25,5,303,612,53,83,4380,136,131,0.052408427,7.57,240.2,267,199
2016,691.993895,70,5,1037,1560,100,98,2380,198,82,0.062415197,31.4,520.8,280,152
2017,485.9910787,16,7,642.8,1700,66,109,4080,175,122,0.065431718,60,76.38,297,105
2018,None,None,None,130.9,299.5,36,160,1300,196,83,0.069768951,14.4,122.4,279,183
2019,107.9985383,60,4,408.8,924,96,115,2510,211,96,0.065431627,43.55,56.59,307,122
2020,52.80226267,20,6,122,223.5,63,184,517,247,39,0.085858586,8.78,15.2,286,158
2021,34.9822985,46,2,97.12,277,78,139,554,217,61,0.066840395,9.86,10.6,278,166
