Adult_Year_Brood_Year,Adult_Estimate,Adult_Female_Estimate,Smolt_Year,Smolt_Point_Estimate,Smolts_Produced_Per_Female
2007,1622,860,2009,73232,85.15
2008,63,32,2010,3257,101.78
2009,81,41,2011,353,8.61
2010,927,640,2012,63135,98.65
2011,355,170,2013,9283,54.61
2012,201,86,2014,6734,78.3
2013,2752,1514,2015,8758,5.78
2014,485,179,2016,3372,18.84
2015,212,170,2017,N/D,N/D
2016,226,175,2018,14628,83.59
2017,382,174,2019,15707,90.27
2018,739,422,2020,14628,34.66
2019,346,195,2021,"1,762",9.04
2020,1766,883,2022,"68,616",77.71
