Brood_Year,Spawning_Adult_Chinook_est,Juvenile_Chinook_produced_BY_plus_1,Chinook_juv_per_adult
1999,3584,160906,44.9
2000,6253,630151,100.8
2001,6142,291207,47.4
2002,4308,125909,29.2
2003,12053,1211604,100.5
2004,467,211847,453.6
2005,756,13279,17.6
2006,4960,370622,74.7
2007,4505,717948,159.4
2008,4673,1070520,229.1
2009,2211,963392,435.7
2010,2508,162706,64.9
2011,5521,219304,39.7
2012,9532,782804,82.1
2013,4624,493721,106.8
2014,12470,284329,22.8
2015,2113,97027,45.9
2016,1515,,
2017,2576,410688,159.4
2018,1279,138947,108.6
2019,2090,391643,187.4
2020,855,227716,266.3
